Timestamp,Humidity,Temperature,Heat Index
23-11-2024 22:48,59.42,39.69,69.4
08-11-2024 01:48,88.38,29.77,73.96
08-09-2024 15:49,84.61,29.79,72.1
16-11-2024 23:40,76.32,35.99,74.15
26-09-2024 06:03,89.8,25.08,69.98
23-09-2024 14:33,68.87,33.8,68.24
26-10-2024 17:02,80.88,37.31,77.75
10-09-2024 10:37,41.57,32.99,53.78
01-11-2024 14:03,85.46,29.9,72.63
25-10-2024 12:07,72.85,29.93,66.35
24-10-2024 04:24,77.86,24.24,63.17
29-09-2024 19:32,77.59,20.64,59.44
29-09-2024 06:13,69.67,20.94,55.78
02-11-2024 07:04,49.17,25.02,49.6
14-11-2024 09:10,75.02,36.2,73.71
13-09-2024 02:57,83.66,24.03,65.86
08-09-2024 05:34,46.68,22.15,45.49
28-11-2024 02:25,62.73,24.48,55.84
25-11-2024 01:39,88.91,28.73,73.18
13-11-2024 22:27,49.03,34.19,58.7
25-11-2024 06:05,69.7,37.85,72.7
13-09-2024 05:54,78.64,28.69,68.01
12-10-2024 22:29,85.08,33.99,76.53
05-09-2024 03:12,88.63,31.61,75.92
16-10-2024 05:08,87.27,30.32,73.96
01-10-2024 09:25,84.19,37.08,79.18
07-10-2024 21:22,72.23,27.58,63.7
06-11-2024 00:37,80.68,36.74,77.08
12-09-2024 11:34,79.87,21.94,61.88
14-10-2024 08:42,48.23,36.66,60.77
27-10-2024 02:21,43.15,31.82,53.4
22-11-2024 12:07,46.61,34.36,57.66
05-10-2024 04:42,73.26,28.13,64.76
28-09-2024 05:25,61.11,33.46,64.02
25-11-2024 21:34,57.15,20.22,48.8
25-11-2024 23:20,47.16,28.29,51.87
17-09-2024 15:03,71.55,30.29,66.06
27-10-2024 06:57,72.41,33.49,69.69
03-09-2024 06:18,77.81,27.39,66.3
15-11-2024 20:25,50.28,28.15,53.29
28-11-2024 07:51,64.62,27.78,60.09
08-11-2024 20:58,44.64,38.74,61.06
17-11-2024 21:51,56.89,34.93,63.38
28-10-2024 01:21,71.4,33.68,69.38
12-09-2024 02:53,51.17,21.82,47.4
09-11-2024 17:39,68.94,29.24,63.71
28-11-2024 19:09,57.41,37.67,66.38
12-10-2024 12:42,61.57,37.83,68.61
25-11-2024 07:40,75.18,21.87,59.46
03-10-2024 04:46,52.7,22.55,48.9
19-10-2024 17:09,52.49,23.28,49.53
01-10-2024 19:48,42.17,35.31,56.4
02-10-2024 17:29,58.3,22.27,51.42
13-09-2024 14:35,71.54,30.21,65.98
23-11-2024 13:35,53.96,24.62,51.6
06-11-2024 22:05,51.58,27.57,53.36
05-09-2024 16:40,81.68,34.77,75.61
05-10-2024 09:25,60.4,20.25,50.45
17-10-2024 19:53,78.54,26.59,65.86
26-11-2024 19:25,47.92,38.93,62.89
06-11-2024 17:15,84.97,37.44,79.92
17-09-2024 05:40,89.47,20.12,64.86
10-10-2024 10:47,40.3,38.05,58.2
22-09-2024 14:37,83.9,27.61,69.56
04-09-2024 17:20,79.7,28.79,68.64
02-10-2024 00:23,69.47,25.22,59.96
23-09-2024 07:43,44.14,20.23,42.3
04-10-2024 09:21,59.23,30.05,59.66
18-09-2024 06:28,57.24,30.71,59.33
26-09-2024 05:01,87.74,36.48,80.35
28-10-2024 15:31,55.33,32.52,60.18
27-09-2024 12:26,55.29,21.83,49.47
27-10-2024 17:35,67.4,33.14,66.84
22-11-2024 19:21,63.16,29.12,60.7
17-11-2024 03:37,51.68,33.99,59.83
15-10-2024 11:12,58.19,36.27,65.37
18-09-2024 13:35,67.39,22.79,56.48
06-09-2024 08:46,75.86,25.17,63.1
07-11-2024 22:02,76.4,21.04,59.24
25-09-2024 20:21,88.62,35.85,80.16
07-11-2024 22:16,78.95,35.37,74.84
28-11-2024 07:27,65.9,26.28,59.23
21-10-2024 15:23,59,23.05,52.55
23-09-2024 00:07,42.53,24.08,45.34
10-11-2024 21:17,43.21,32.17,53.78
24-10-2024 11:52,89.75,27.9,72.78
19-11-2024 22:43,49.86,39.46,64.39
11-11-2024 00:28,77.42,27.57,66.28
24-10-2024 05:28,62.85,26.14,57.56
08-11-2024 23:27,57.61,28.23,57.04
21-09-2024 13:58,79.11,21.92,61.48
04-11-2024 08:10,59.78,33.34,63.23
30-09-2024 04:07,60.23,26.97,57.08
18-10-2024 01:50,87.73,22.28,66.15
17-11-2024 11:13,83.84,20.36,62.28
14-09-2024 19:43,82.34,29.34,70.51
11-10-2024 22:57,73.76,37.61,74.49
30-11-2024 21:54,74.65,32.25,69.58
21-11-2024 15:18,40.45,32.14,52.36
07-09-2024 16:07,64.11,25.15,57.2
12-10-2024 07:26,45.77,23.53,46.42
01-10-2024 07:29,51.59,25.9,51.7
28-09-2024 13:28,56.53,26.75,55.02
27-09-2024 00:15,64.18,37.47,69.56
05-09-2024 04:47,75.13,34.02,71.59
21-11-2024 11:21,82.43,31.97,73.18
31-10-2024 17:08,57.91,24.48,53.44
24-11-2024 23:58,51.32,20.41,46.07
28-09-2024 13:15,41.89,28.96,49.9
16-11-2024 03:41,79.46,23.55,63.28
31-10-2024 15:02,54.77,29.29,56.68
13-10-2024 10:28,71.11,38.84,74.4
06-10-2024 04:02,86.5,22.09,65.34
26-11-2024 01:01,53.98,28.34,55.33
08-09-2024 15:27,78.78,31.15,70.54
02-10-2024 06:57,77.77,32.36,71.24
21-10-2024 01:04,70.16,24.53,59.61
22-09-2024 02:53,45.28,28.08,50.72
10-09-2024 20:05,43.39,37.06,58.76
15-09-2024 05:37,45.72,30.15,53.01
19-09-2024 17:21,57.52,21.05,49.81
14-11-2024 18:21,61.87,36.29,67.22
25-11-2024 02:57,72.3,21.93,58.08
07-10-2024 10:45,69.59,24.42,59.22
20-09-2024 02:44,56.28,20.01,48.15
27-10-2024 07:09,64.32,20.21,52.37
24-10-2024 17:56,82.74,29.55,70.92
03-09-2024 15:31,86.92,26.24,69.7
07-11-2024 11:12,53.46,24.12,50.85
10-11-2024 02:34,66.41,20.23,53.44
24-10-2024 23:24,80.27,36.14,76.28
12-11-2024 18:49,53.02,26.98,53.49
04-09-2024 18:30,81.96,34.04,75.02
24-10-2024 07:01,42.25,28.69,49.82
04-09-2024 19:50,78.63,36.72,76.04
28-10-2024 08:16,54.8,33.48,60.88
20-11-2024 00:57,63.23,35.23,66.84
01-10-2024 15:04,63.21,31.91,63.52
21-10-2024 13:58,62.08,28.08,59.12
05-11-2024 03:42,53.47,30.98,57.72
06-09-2024 18:06,89.19,28.31,72.9
01-09-2024 11:21,79.33,34.91,74.57
05-11-2024 02:11,63.5,38.24,69.99
09-09-2024 04:04,63.13,21.78,53.34
05-11-2024 01:07,50.74,35.34,60.71
25-10-2024 06:33,57.07,28.34,56.88
11-11-2024 12:52,65.98,39.9,72.89
04-09-2024 10:28,89.11,36.5,81.06
06-11-2024 11:41,46.48,34.29,57.53
01-09-2024 15:53,62.07,38.01,69.04
21-09-2024 19:47,87.76,30.57,74.45
20-10-2024 14:07,87.81,25.73,69.64
10-09-2024 20:51,69.55,33.2,67.97
10-10-2024 19:51,87.45,22.21,65.94
28-11-2024 09:15,44.78,39.57,61.96
29-11-2024 04:31,44.16,26.58,48.66
14-10-2024 10:49,45.06,34.88,57.41
12-10-2024 13:08,41.88,27.97,48.91
28-09-2024 09:08,84.25,29.6,71.72
28-11-2024 23:47,72.32,32.5,68.66
15-09-2024 16:34,64.47,31.46,63.7
16-10-2024 17:00,75.48,38.29,76.03
18-10-2024 15:36,88.01,25.04,69.04
17-09-2024 19:30,66.31,36.28,69.44
20-09-2024 23:54,47.96,22.27,46.25
25-10-2024 19:09,44.96,25.08,47.56
23-09-2024 11:44,44.09,23.34,45.39
24-09-2024 18:15,59.69,32.44,62.28
18-09-2024 05:06,58.48,28.25,57.49
