Date-and-Time, Humidity %, Temperature(°C), Heat-Index 
[2024-04-15 21:51:01.864] 210490376,67.3,34,45.46
[2024-04-15 21:51:11.941] 220514260,67.4,34,45.5
[2024-04-15 21:51:22.003] 230538128,67.3,34,45.46
[2024-04-15 21:51:32.096] 240562008,67.4,34,45.5
[2024-04-15 21:51:42.174] 250585876,67.4,34,45.5
[2024-04-15 21:51:52.251] 260610772,67.4,34,45.5
[2024-04-15 21:52:02.328] 270635672,67.4,34,45.5
[2024-04-15 21:52:12.395] 280660564,67.4,34,45.5
[2024-04-15 21:52:22.483] 290685464,67.4,34,45.5
[2024-04-15 21:52:32.560] 300710360,67.4,34,45.5
[2024-04-15 21:52:42.632] 310735264,67.3,34,45.46
[2024-04-15 21:52:52.705] 320760164,67.2,34,45.41
[2024-04-15 21:53:02.797] 330784096,67.2,34,45.41
[2024-04-15 21:53:12.865] 340808024,67.3,34,45.46
[2024-04-15 21:53:22.941] 350831900,67.2,34,45.41
[2024-04-15 21:53:33.020] 360855824,67.2,34,45.41
[2024-04-15 21:53:43.095] 370879752,67.2,34,45.41
[2024-04-15 21:53:53.175] 380903688,67.2,34,45.41
[2024-04-15 21:54:03.250] 390927612,67,34,45.31
[2024-04-15 21:54:13.330] 400951432,67,34,45.31
[2024-04-15 21:54:23.405] 410975256,67,34,45.31
[2024-04-15 21:54:33.486] 420999084,67,33.9,44.99
[2024-04-15 21:54:43.563] 431023060,66.9,33.9,44.94
[2024-04-15 21:54:53.641] 441047100,66.8,34,45.22
[2024-04-15 21:55:03.732] 451070936,66.9,33.9,44.94
[2024-04-15 21:55:13.800] 461094968,66.9,33.9,44.94
[2024-04-15 21:55:23.876] 471119004,67,33.9,44.99
[2024-04-15 21:55:33.955] 481142988,66.9,34,45.26
[2024-04-15 21:55:44.042] 491166912,67,34,45.31
[2024-04-15 21:55:54.118] 501190740,67,34,45.31
[2024-04-15 21:56:04.185] 511214564,67,33.9,44.99
[2024-04-15 21:56:14.266] 521238544,66.8,33.9,44.9
[2024-04-15 21:56:24.352] 531262484,66.8,34,45.22
[2024-04-15 21:56:34.418] 541286320,66.9,33.9,44.94
[2024-04-15 21:56:44.500] 551310364,66.9,33.9,44.94
[2024-04-15 21:56:54.575] 561334400,66.7,33.9,44.85
[2024-04-15 21:57:04.667] 571358488,66.6,33.9,44.8
[2024-04-15 21:57:14.735] 581382480,66.7,33.9,44.85
[2024-04-15 21:57:24.810] 591406564,66.8,33.9,44.9
[2024-04-15 21:57:34.890] 601431528,66.8,33.9,44.9
[2024-04-15 21:57:44.977] 611456496,66.7,33.9,44.85
[2024-04-15 21:57:55.045] 621481616,66.5,33.9,44.76
[2024-04-15 21:58:05.125] 631506640,66.4,33.9,44.71
[2024-04-15 21:58:15.200] 641531576,66.5,33.9,44.76
[2024-04-15 21:58:25.275] 651556600,66.5,33.9,44.76
[2024-04-15 21:58:35.355] 661580592,66.5,33.9,44.76
[2024-04-15 21:58:45.430] 671604592,66.5,33.9,44.76
[2024-04-15 21:58:55.522] 681628584,66.5,33.9,44.76
[2024-04-15 21:59:05.601] 691652580,66.6,33.9,44.8
[2024-04-15 21:59:15.669] 701676568,66.6,33.9,44.8
[2024-04-15 21:59:25.745] 711700560,66.6,33.9,44.8
[2024-04-15 21:59:35.824] 721724548,66.5,33.9,44.76
[2024-04-15 21:59:45.912] 731748544,66.7,33.9,44.85
[2024-04-15 21:59:55.979] 741772632,66.7,33.9,44.85
[2024-04-15 22:00:06.059] 751796720,66.8,33.9,44.9
[2024-04-15 22:00:16.137] 761821692,66.9,33.9,44.94
[2024-04-16 09:47:35.162] 10011480,65.8,32,38.93
[2024-04-16 09:47:45.239] 20036248,65.1,32.2,39.23
[2024-04-16 09:47:55.315] 30061040,64.7,32.3,39.36
[2024-04-16 09:48:05.409] 40085976,63.9,32.4,39.34
[2024-04-16 09:48:15.469] 50111036,63.4,32.5,39.43
[2024-04-16 09:48:25.562] 60136044,63.2,32.5,39.36
[2024-04-16 09:48:35.639] 70161108,63.1,32.5,39.32
[2024-04-16 09:48:45.716] 80185140,63.4,32.6,39.7
[2024-04-16 09:48:55.793] 90209172,63.3,32.6,39.66
[2024-04-16 09:49:05.870] 100233208,63,32.7,39.82
[2024-04-16 09:49:15.947] 110257280,62.7,32.8,39.98
[2024-04-16 09:49:26.023] 120281400,61.8,32.8,39.65
[2024-04-16 09:49:36.101] 130305432,61.9,32.8,39.68
[2024-04-16 09:49:46.178] 140330540,62.1,32.8,39.76
[2024-04-16 09:49:56.255] 150355604,61.9,32.9,39.95
[2024-04-16 09:50:06.332] 160379776,61.8,32.9,39.91
[2024-04-16 09:50:16.408] 170403852,61.7,32.9,39.87
[2024-04-16 09:50:26.486] 180428028,61.6,32.9,39.84
[2024-04-16 09:50:36.578] 190452104,61.4,33,40.03
[2024-04-16 09:50:46.640] 200476028,61.3,33,39.99
[2024-04-16 09:50:56.732] 210499996,61.5,33,40.06
[2024-04-16 09:51:06.794] 220525024,61.8,33,40.18
[2024-04-16 09:51:16.887] 230550016,61.9,33.1,40.48
[2024-04-16 09:51:26.963] 240575076,61.7,33.1,40.4
[2024-04-16 09:51:37.040] 250599200,61.6,33.2,40.63
[2024-04-16 09:51:47.117] 260623280,61.3,33.1,40.25
[2024-04-16 09:51:57.194] 270647320,60.9,33.2,40.37
[2024-04-16 09:52:07.271] 280671316,60.1,33.2,40.07
[2024-04-16 09:52:17.348] 290695208,59.8,33.2,39.96
[2024-04-16 09:52:27.426] 300719236,59.8,33.2,39.96
[2024-04-16 09:52:37.503] 310743272,59.7,33.2,39.92
[2024-04-16 09:52:47.579] 320767396,59.6,33.2,39.88
[2024-04-16 09:52:57.656] 330792460,59.8,33.2,39.96
[2024-04-16 09:53:07.733] 340817520,59.9,33.2,39.99
[2024-04-16 09:53:17.810] 350841640,59.9,33.2,39.99
[2024-04-16 09:53:27.887] 360865764,59.8,33.2,39.96
[2024-04-16 09:53:37.965] 370889796,59.7,33.2,39.92
[2024-04-16 09:53:48.057] 380913920,59.6,33.2,39.88
[2024-04-16 09:53:58.133] 390937956,59.7,33.2,39.92
[2024-04-16 09:54:08.210] 400962084,59.6,33.1,39.63
[2024-04-16 09:54:18.287] 410987192,59.6,33.2,39.88
[2024-04-16 09:54:28.368] 421011228,59.6,33.1,39.63
[2024-04-16 09:54:38.441] 431035308,59.5,33.1,39.59
[2024-04-16 09:54:48.518] 441059344,59.4,33.1,39.56
[2024-04-16 09:54:58.596] 451083340,59.6,33.1,39.63
[2024-04-16 09:55:08.672] 461107424,59.5,33.1,39.59
[2024-04-16 09:55:18.749] 471131460,59.5,33.1,39.59
[2024-04-16 09:55:28.827] 481155492,59.4,33.2,39.81
[2024-04-16 09:55:38.903] 491180508,59.4,33.2,39.81
[2024-04-16 09:55:48.980] 501205532,59.6,33.2,39.88
[2024-04-16 09:55:59.057] 511230588,60.1,33.2,40.07
[2024-04-16 09:56:09.135] 521255504,60.2,33.2,40.11
[2024-04-16 09:56:19.227] 531280472,60.2,33.3,40.37
[2024-04-16 09:56:29.288] 541305500,60.5,33.3,40.48
[2024-04-16 09:56:39.381] 551329588,60.4,33.4,40.71
[2024-04-16 09:56:49.458] 561353584,60.2,33.4,40.63
[2024-04-16 09:56:59.535] 571377576,60.5,33.4,40.75
[2024-04-16 09:57:09.612] 581401624,60,33.4,40.56
[2024-04-16 09:57:19.677] 591425508,60,33.4,40.56
[2024-04-16 09:57:29.763] 601449396,60.3,33.4,40.67
[2024-04-16 09:57:39.840] 611473388,60.3,33.4,40.67
[2024-04-16 09:57:49.913] 621497384,60.1,33.4,40.59
[2024-04-16 09:58:00.001] 631521332,59.7,33.5,40.7
[2024-04-16 23:06:28.941] 10011480,61.1,34.6,44.38
[2024-04-16 23:06:39.018] 20035516,61.1,34.6,44.38
[2024-04-16 23:06:49.097] 30059548,61.1,34.6,44.38
[2024-04-16 23:06:59.180] 40083584,61,34.6,44.34
[2024-04-16 23:07:19.342] 60129388,61,34.6,44.34
[2024-04-16 23:07:29.419] 70153364,61,34.6,44.34
[2024-04-16 23:07:39.504] 80177336,61,34.6,44.34
[2024-04-16 23:07:49.589] 90201316,60.9,34.6,44.29
[2024-04-16 23:07:59.666] 100225404,60.8,34.6,44.24
[2024-04-16 23:08:09.742] 110249432,60.8,34.6,44.24
[2024-04-16 23:08:19.819] 120274496,60.8,34.6,44.24
[2024-04-16 23:08:29.896] 130299560,61,34.6,44.34
[2024-04-16 23:08:39.973] 140324608,61.4,34.5,44.23
[2024-04-16 23:08:50.050] 150348648,61.7,34.6,44.66
[2024-04-16 23:09:00.119] 160372824,62,34.6,44.81
[2024-04-16 23:09:10.212] 170396852,62.2,34.6,44.9
[2024-04-16 23:09:20.281] 180420876,62.3,34.7,45.26
[2024-04-16 23:09:30.366] 190445052,62.4,34.6,45
[2024-04-16 23:09:40.443] 200470160,62.5,34.7,45.35
[2024-04-16 23:09:50.512] 210494324,62.5,34.7,45.35
[2024-04-16 23:10:00.589] 220518496,62.7,34.7,45.45
[2024-04-16 23:10:10.682] 230542760,62.6,34.7,45.4
[2024-04-16 23:10:20.743] 240567996,62.5,34.7,45.35
[2024-04-16 23:10:30.836] 250592172,62.3,34.7,45.26
[2024-04-16 23:10:40.913] 260616352,62,34.7,45.11
[2024-04-16 23:10:50.981] 270640460,62.1,34.8,45.47
[2024-04-16 23:11:01.067] 280664496,62.4,34.8,45.61
[2024-04-16 23:11:11.144] 290689552,62.4,34.8,45.61
[2024-04-16 23:11:21.221] 300714616,62.3,34.8,45.56
[2024-04-16 23:11:31.298] 310738740,62.3,34.8,45.56
[2024-04-16 23:28:40.885] 10011480,61.5,34.8,45.17
[2024-04-16 23:28:50.961] 20035516,61.5,34.8,45.17
[2024-04-16 23:29:01.038] 30059552,61.6,34.8,45.22
[2024-04-16 23:29:11.116] 40083632,61.6,34.8,45.22
[2024-04-16 23:29:21.192] 50107720,61.6,34.8,45.22
[2024-04-16 23:29:31.270] 60131804,61.7,34.8,45.27
[2024-04-16 23:29:41.346] 70156964,61.8,34.8,45.32
[2024-04-16 23:29:51.423] 80181044,61.9,34.8,45.37
[2024-04-16 23:30:01.501] 90205036,62,34.8,45.42
[2024-04-16 23:30:11.577] 100228924,62.1,34.8,45.47
[2024-04-16 23:30:21.655] 110252964,62.1,34.8,45.47
[2024-04-16 23:30:31.747] 120277004,62.1,34.8,45.47
[2024-04-16 23:30:41.825] 130301040,62.3,34.8,45.56
[2024-04-16 23:30:51.901] 140325164,62.5,34.8,45.66
[2024-04-16 23:31:01.978] 150349292,62.8,34.8,45.81
[2024-04-16 23:31:12.048] 160374308,62.8,34.8,45.81
[2024-04-16 23:31:22.132] 170399320,62.9,34.9,46.17
[2024-04-16 23:31:32.209] 180423440,62.8,34.9,46.12
[2024-04-16 23:31:42.286] 190447516,62.7,34.9,46.07
[2024-04-16 23:31:52.364] 200471636,62.6,34.9,46.02
[2024-04-16 23:32:02.439] 210495848,62.7,34.9,46.07
[2024-04-16 23:32:12.517] 220519960,62.7,34.9,46.07
[2024-04-16 23:32:22.601] 230545108,62.9,34.9,46.17
[2024-04-16 23:32:32.671] 240569228,63,34.9,46.22
[2024-04-16 23:32:42.763] 250593292,62.9,34.9,46.17
[2024-04-16 23:32:52.824] 260617420,62.8,34.9,46.12
[2024-04-16 23:33:02.917] 270641504,62.9,34.9,46.17
[2024-04-16 23:33:12.978] 280665628,62.9,34.9,46.17
[2024-04-16 23:33:23.071] 290690784,63,34.9,46.22
[2024-04-16 23:33:33.148] 300714848,62.9,35,46.49
[2024-04-16 23:33:43.225] 310738904,62.9,35,46.49
[2024-04-16 23:33:53.302] 320762952,62.9,35,46.49
[2024-04-16 23:34:03.379] 330787012,62.9,35,46.49
[2024-04-16 23:34:13.456] 340811064,62.8,35,46.44
[2024-04-16 23:34:23.533] 350835072,62.8,35,46.44
[2024-04-16 23:34:33.610] 360859080,62.9,35,46.49
[2024-04-16 23:34:43.687] 370884152,62.8,35,46.44
[2024-04-16 23:34:53.764] 380909188,62.9,34.9,46.17
[2024-04-16 23:35:03.842] 390933312,62.9,35,46.49
[2024-04-16 23:35:13.918] 400957364,63,35,46.54
[2024-04-16 23:35:23.995] 410981320,63,35,46.54
[2024-04-16 23:35:34.088] 421005268,62.9,35,46.49
[2024-04-20 19:05:52.973] 60011480,52,33.5,37.96
[2024-04-20 19:06:53.294] 120035368,50.3,33.8,38.06
[2024-04-20 19:07:53.631] 180059396,51,33.9,38.51
[2024-04-20 19:08:53.968] 240083424,50,34.2,38.83
[2024-04-20 19:09:54.290] 300108332,49.7,34.2,38.73
[2024-04-20 19:10:54.626] 360133404,49.1,34.2,38.53
[2024-04-20 19:11:54.963] 420157352,49,34.2,38.49
[2024-04-20 19:12:55.285] 480181236,48.9,34.2,38.46
[2024-04-20 19:13:55.622] 540205248,48.7,34.2,38.39
[2024-04-20 19:14:55.943] 600229284,48.5,34.2,38.32
[2024-04-20 19:15:56.280] 660254252,48.5,34.2,38.32
[2024-04-20 19:16:56.610] 720279224,48.3,34.2,38.26
[2024-04-20 19:17:56.920] 780304248,48.1,34.2,38.19
[2024-04-20 19:18:57.244] 840328152,48,34.2,38.16
[2024-04-20 19:19:57.560] 900351948,47.8,34.1,37.88
[2024-04-20 19:20:57.880] 960375984,47.7,34.2,38.06
[2024-04-20 19:21:58.215] 1020400108,47.7,34.2,38.06
[2024-04-20 19:22:58.534] 1080425308,47.6,34.2,38.02
[2024-04-20 19:23:58.840] 1140449432,47.5,34.1,37.78
[2024-04-20 19:24:59.177] 1200473608,47.4,34.1,37.75
[2024-04-20 19:25:59.498] 1260498728,47.5,34.1,37.78
[2024-04-20 19:26:59.816] 1320522908,47.4,34,37.54
[2024-04-20 19:28:00.129] 1380546928,47.4,34.1,37.75
[2024-04-20 19:29:00.451] 1440571008,47.5,34.1,37.78
[2024-04-20 19:30:00.767] 1500595184,47.5,34.1,37.78
[2024-04-20 19:31:01.098] 1560619364,47.6,34.1,37.81
[2024-04-20 19:32:01.421] 1620643452,47.7,34.1,37.85
[2024-04-20 19:33:01.741] 1680667632,47.6,34.1,37.81
[2024-04-20 19:34:02.053] 1740691720,47.7,34.1,37.85
[2024-04-20 19:35:02.389] 1800715904,47.8,34.2,38.09
[2024-04-20 19:36:02.712] 1860741052,47.9,34.2,38.12
